LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
30000.0,2.0,3.0,1.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,30678.0,29893.0,29086.0,25352.0,25096.0,24920.0,1.0,1957.0,678.0,684.0,776.0,235.0
30000.0,2.0,2.0,2.0,31.0,3.0,2.0,2.0,2.0,2.0,0.0,29078.0,28312.0,29733.0,29183.0,28082.0,27434.0,0.0,1900.0,2600.0,11.0,1500.0,1700.0
20000.0,2.0,3.0,1.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,12864.0,14150.0,15334.0,16222.0,17598.0,9950.0,1500.0,1500.0,1000.0,1500.0,1500.0,1500.0
20000.0,1.0,2.0,2.0,24.0,3.0,2.0,0.0,0.0,-1.0,-1.0,18937.0,18350.0,18918.0,19323.0,13180.0,5200.0,0.0,1251.0,656.0,13180.0,5200.0,0.0
180000.0,1.0,3.0,1.0,41.0,2.0,0.0,0.0,0.0,2.0,0.0,111786.0,115921.0,117428.0,104153.0,100148.0,98165.0,6000.0,5000.0,9000.0,0.0,5000.0,7130.0
20000.0,1.0,3.0,2.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,14038.0,13568.0,14630.0,27408.0,13984.0,0.0,1338.0,1400.0,274.0,560.0,0.0,0.0
20000.0,2.0,2.0,1.0,36.0,1.0,2.0,2.0,2.0,2.0,2.0,16161.0,17596.0,17031.0,19715.0,19806.0,18747.0,2000.0,0.0,3300.0,700.0,0.0,1200.0
130000.0,1.0,2.0,2.0,28.0,2.0,2.0,0.0,0.0,0.0,0.0,70952.0,69264.0,70184.0,8518.0,11296.0,6514.0,0.0,3000.0,2000.0,3000.0,2000.0,0.0
140000.0,1.0,2.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,142697.0,137269.0,133767.0,120287.0,117183.0,119575.0,5010.0,6377.0,5604.0,4160.0,8239.0,0.0
20000.0,2.0,2.0,1.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,19618.0,17576.0,18266.0,18637.0,19028.0,14924.0,1451.0,1141.0,512.0,533.0,1000.0,600.0
110000.0,1.0,2.0,2.0,26.0,2.0,0.0,0.0,0.0,0.0,2.0,28290.0,30516.0,39584.0,43581.0,48458.0,17129.0,3000.0,10000.0,5000.0,6000.0,0.0,2000.0
