LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
210000.0,2.0,1.0,1.0,45.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-200.0,-200.0,-200.0,0.0,2000.0,0.0,0.0,0.0,200.0,2000.0,0.0,0.0
290000.0,2.0,1.0,1.0,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0
500000.0,2.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,67475.0,72191.0,64130.0,45766.0,45324.0,55011.0,6000.0,2332.0,1219.0,5000.0,54000.0,110000.0
10000.0,2.0,2.0,2.0,22.0,-1.0,-1.0,2.0,0.0,0.0,2.0,3646.0,7374.0,6714.0,4432.0,6652.0,6095.0,4000.0,0.0,2000.0,3000.0,0.0,3870.0
120000.0,1.0,2.0,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,118709.0,120580.0,118684.0,88557.0,91124.0,88094.0,5000.0,5007.0,4000.0,4003.0,4003.0,4000.0
20000.0,1.0,2.0,2.0,22.0,0.0,0.0,2.0,2.0,2.0,0.0,18743.0,19879.0,18872.0,21178.0,20329.0,20853.0,3000.0,0.0,3000.0,0.0,1000.0,400.0
200000.0,2.0,2.0,2.0,38.0,0.0,0.0,0.0,2.0,-1.0,0.0,18703.0,9733.0,7078.0,1195.0,43115.0,43869.0,1533.0,2395.0,0.0,45000.0,1600.0,2000.0
50000.0,1.0,1.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,42046.0,47356.0,47445.0,49701.0,49068.0,0.0,11000.0,5000.0,5000.0,31507.0,0.0,0.0
50000.0,2.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,51016.0,49000.0,20356.0,20241.0,20304.0,20119.0,2098.0,1303.0,698.0,719.0,716.0,833.0
60000.0,1.0,2.0,1.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0,72930.0,71123.0,67405.0,63559.0,60048.0,56458.0,5000.0,3000.0,3000.0,3000.0,2000.0,3000.0
130000.0,2.0,3.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,113707.0,115323.0,120461.0,121177.0,4623.0,5402.0,5000.0,7000.0,5000.0,2000.0,2000.0,5000.0
