LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
280000.0,2.0,1.0,1.0,63.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4108.0,2219.0,4734.0,0.0,1420.0,2705.0,2219.0,4734.0,0.0,1420.0,2705.0,3275.0
360000.0,2.0,2.0,1.0,69.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180000.0,2.0,2.0,1.0,58.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,750.0,1576.0,1504.0,0.0,0.0,750.0,1576.0,1504.0,0.0,1000.0
240000.0,2.0,1.0,1.0,53.0,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,0.0,0.0,2007.0,-40.0,-40.0,8091.0,0.0,2007.0,40.0,0.0,8131.0,0.0
230000.0,2.0,2.0,1.0,54.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,880.0,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,1740.0
80000.0,2.0,2.0,2.0,23.0,2.0,2.0,2.0,0.0,0.0,2.0,20661.0,22515.0,23339.0,23654.0,25119.0,24567.0,2500.0,1500.0,1000.0,2000.0,0.0,1058.0
230000.0,2.0,1.0,1.0,51.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0.0,0.0,496.0,496.0
210000.0,2.0,2.0,1.0,54.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,225.0,760.0,0.0,0.0,0.0,225.0,760.0,0.0,0.0
290000.0,2.0,1.0,1.0,51.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,22888.0,783.0,40720.0,4352.0,504.0,22888.0,783.0,40720.0,4352.0,504.0,720.0
210000.0,1.0,1.0,1.0,39.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,980.0,0.0,650.0,3446.0,0.0,0.0,0.0,650.0,3446.0,0.0,0.0,0.0
200000.0,2.0,1.0,1.0,58.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,283.0,5361.0,6309.0,385.0,0.0,0.0,5361.0,6309.0,385.0,0.0,0.0,3390.0
