LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
30000.0,2.0,2.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,29632.0,30239.0,30526.0,29219.0,30012.0,28422.0,1492.0,1661.0,1238.0,1031.0,1083.0,0.0
580000.0,2.0,2.0,1.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20498.0,2290.0,4968.0,4481.0,5574.0,14240.0,2290.0,4968.0,4485.0,5583.0,14242.0,9986.0
280000.0,1.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,24189.0,25294.0,26667.0,26926.0,27492.0,28333.0,1500.0,1800.0,1000.0,1000.0,1300.0,1000.0
200000.0,2.0,1.0,1.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,188553.0,192100.0,126343.0,125700.0,126448.0,81008.0,8011.0,5203.0,4000.0,5000.0,3001.0,3000.0
20000.0,2.0,3.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,12685.0,13634.0,12115.0,12356.0,12623.0,13905.0,1188.0,1201.0,442.0,466.0,1500.0,421.0
180000.0,2.0,1.0,2.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15991.0,1473.0,26876.0,53390.0,35292.0,61910.0,1473.0,26876.0,53390.0,35292.0,61910.0,23913.0
420000.0,2.0,2.0,1.0,37.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4904.0,5248.0,5344.0,5058.0,2019.0,2443.0,5332.0,5348.0,5065.0,2019.0,2443.0,4697.0
160000.0,1.0,1.0,1.0,40.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,567.0,4027.0,3100.0,2123.0,4899.0,567.0,4059.0,3100.0,2123.0,4899.0,3165.0
200000.0,1.0,2.0,1.0,38.0,1.0,2.0,2.0,2.0,0.0,0.0,185471.0,189921.0,193731.0,189136.0,191335.0,202780.0,9000.0,8300.0,0.0,6800.0,14500.0,0.0
80000.0,2.0,2.0,1.0,42.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,10593.0,41217.0,8815.0,24012.0,0.0,2229.0,41217.0,8815.0,24012.0,1153.0,2229.0,2190.0
110000.0,1.0,5.0,1.0,36.0,-1.0,0.0,0.0,0.0,0.0,0.0,3385.0,31169.0,50526.0,51816.0,34262.0,23366.0,28000.0,20000.0,3000.0,3000.0,3000.0,3000.0
