LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
140000.0,2.0,2.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,98250.0,100319.0,102231.0,95852.0,94005.0,93177.0,4600.0,4523.0,4300.0,3300.0,3400.0,3600.0
110000.0,2.0,2.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,101706.0,102946.0,104260.0,104162.0,104754.0,105707.0,3687.0,3850.0,3670.0,3662.0,4000.0,3795.0
130000.0,2.0,2.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,84963.0,83958.0,84906.0,85690.0,85892.0,87996.0,2980.0,4012.0,3885.0,3158.0,4704.0,3218.0
150000.0,2.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,97069.0,100743.0,103528.0,105623.0,106583.0,108909.0,5300.0,5300.0,5300.0,4200.0,4200.0,4200.0
100000.0,2.0,2.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,95251.0,98226.0,98295.0,100406.0,100430.0,101392.0,5401.0,3576.0,3754.0,3806.0,3796.0,4000.0
100000.0,2.0,2.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,82308.0,83994.0,85688.0,86643.0,88280.0,90054.0,3261.0,3307.0,2581.0,2502.0,2525.0,2600.0
110000.0,2.0,2.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,115895.0,115609.0,113984.0,112510.0,112319.0,110730.0,6000.0,5500.0,4000.0,4000.0,4100.0,4000.0
200000.0,1.0,2.0,1.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,6961.0,3848.0,4581.0,610.0,0.0,0.0,3853.0,4581.0,612.0,0.0,0.0,0.0
100000.0,2.0,2.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,97062.0,74352.0,75004.0,76705.0,78168.0,80347.0,2800.0,2700.0,5400.0,3500.0,3500.0,3200.0
130000.0,2.0,2.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,132214.0,132361.0,128904.0,101785.0,101849.0,99296.0,5500.0,5904.0,4785.0,3849.0,4296.0,3139.0
120000.0,1.0,1.0,2.0,34.0,1.0,-1.0,-1.0,-2.0,-1.0,2.0,-325.0,279.0,-117.0,-513.0,1091.0,545.0,1000.0,0.0,0.0,2000.0,0.0,550.0
