LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
340000.0,2.0,2.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40681.0,43171.0,45465.0,46708.0,49912.0,52102.0,3171.0,3000.0,2000.0,4000.0,3000.0,2100.0
230000.0,2.0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,47520.0,46256.0,32029.0,31397.0,27834.0,28153.0,2000.0,2500.0,1200.0,2000.0,18000.0,5000.0
270000.0,1.0,1.0,2.0,36.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,11464.0,1879.0,6896.0,8583.0,880.0,4861.0,1879.0,6909.0,8587.0,880.0,4861.0,3212.0
500000.0,2.0,2.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,60278.0,56247.0,46940.0,45607.0,41412.0,31200.0,1745.0,1635.0,2000.0,3450.0,3000.0,2000.0
170000.0,2.0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,43839.0,45502.0,46967.0,48872.0,51049.0,81018.0,2400.0,2200.0,3000.0,3000.0,31018.0,3000.0
230000.0,2.0,1.0,2.0,29.0,0.0,0.0,0.0,-1.0,0.0,0.0,106984.0,102650.0,0.0,30866.0,32332.0,30480.0,4650.0,0.0,30866.0,2000.0,2000.0,2000.0
300000.0,2.0,2.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,67943.0,69969.0,71387.0,72340.0,73853.0,75316.0,3121.0,3175.0,2736.0,2829.0,2843.0,2941.0
450000.0,2.0,1.0,2.0,32.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,46437.0,7875.0,0.0,1000.0,17446.0,11062.0,7875.0,0.0,1000.0,16446.0,0.0,0.0
420000.0,1.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,122418.0,113122.0,89586.0,83713.0,55375.0,54291.0,4816.0,4128.0,3147.0,2018.0,3130.0,3006.0
160000.0,2.0,1.0,2.0,27.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,13234.0,0.0,6000.0,15866.0,4168.0,2067.0,0.0,6000.0,15866.0,4168.0,2067.0,11826.0
160000.0,2.0,3.0,1.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,95907.0,108036.0,110538.0,130873.0,134524.0,135264.0,15325.0,5731.0,24677.0,5753.0,5325.0,6000.0
