LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
140000.0,2.0,2.0,1.0,45.0,0.0,0.0,0.0,0.0,-1.0,-1.0,106974.0,109061.0,7262.0,7410.0,1545.0,0.0,4924.0,1000.0,148.0,1545.0,0.0,0.0
210000.0,1.0,1.0,2.0,27.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,582.0,0.0,582.0,291.0,1027.0,582.0,0.0,582.0,291.0,1027.0,291.0
50000.0,2.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,45342.0,44719.0,40002.0,38008.0,31898.0,20154.0,2000.0,5040.0,8034.0,3029.0,5000.0,49436.0
290000.0,1.0,2.0,1.0,38.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,24709.0,291.0,6161.0,6200.0,3892.0,4072.0,291.0,6170.0,6216.0,3892.0,4072.0,4382.0
160000.0,2.0,2.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,163418.0,164211.0,165587.0,161950.0,161680.0,164031.0,6200.0,7600.0,6100.0,5900.0,6300.0,7500.0
80000.0,2.0,3.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,79967.0,75920.0,73968.0,71919.0,59894.0,59405.0,2700.0,2875.0,3000.0,3000.0,4000.0,2500.0
420000.0,1.0,2.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,204984.0,209929.0,190689.0,173547.0,176980.0,180109.0,8006.0,7000.0,6000.0,6500.0,6500.0,10000.0
50000.0,2.0,3.0,2.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,50332.0,51247.0,50073.0,26550.0,25842.0,25996.0,4210.0,0.0,1500.0,1090.0,2000.0,2000.0
50000.0,2.0,2.0,2.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,51798.0,50497.0,30935.0,14010.0,19110.0,19500.0,0.0,1663.0,1544.0,5500.0,390.0,0.0
230000.0,2.0,2.0,2.0,26.0,-1.0,-1.0,-1.0,4.0,3.0,2.0,8328.0,0.0,600.0,600.0,300.0,150.0,0.0,600.0,0.0,0.0,0.0,686.0
420000.0,1.0,1.0,2.0,32.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,11728.0,8860.0,4829.0,12181.0,7597.0,17772.0,8904.0,4866.0,12241.0,7635.0,17858.0,10057.0
