MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
432,14,115,24,0,0,96,7,4,6,24,0,21,0,4,4,13,-8,7,2,0,63
107,3,52,22,0,0,100,-7,7,8,24,3,33,0,1,1,17,100,4,2,1,55
113,2,53,15,0,0,100,-7,7,8,16,3,0,-7,1,1,19,-8,4,-8,0,44
251,29,111,23,3,1,89,43,6,5,27,0,56,0,1,1,2,42,3,2,0,63
209,40,107,23,0,0,100,-7,7,8,24,0,21,0,8,8,19,-8,2,1,-8,50
460,3,130,23,0,0,96,0,4,6,23,6,9,0,0,0,34,92,7,1,3,67
109,7,61,12,0,0,100,-7,7,8,12,2,67,0,1,1,8,82,1,8,0,82
157,3,83,20,1,1,95,40,6,2,7,2,38,1,2,2,22,73,6,2,0,100
445,7,147,15,0,0,100,-7,7,8,16,1,13,0,1,1,36,-8,10,1,2,92
199,9,97,18,0,0,94,28,6,6,18,2,17,-7,0,0,17,80,5,1,0,60
108,2,35,7,1,0,90,37,6,5,10,6,30,2,2,2,0,-8,0,-8,0,14
