MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
202,19,81,32,0,0,97,36,6,6,32,0,44,-7,0,0,42,-8,3,2,0,71
169,4,93,10,0,0,100,-7,7,8,10,1,20,4,1,1,73,-8,4,-8,2,80
310,3,96,33,1,1,97,68,6,2,34,4,26,0,4,4,73,89,6,4,3,71
411,23,91,10,0,0,100,-7,6,8,11,0,36,0,0,0,17,-8,2,-8,0,100
148,4,71,13,0,0,92,43,6,6,13,1,54,3,1,1,92,70,3,3,2,100
181,9,53,13,0,0,100,-7,7,8,13,1,62,0,0,0,44,92,2,3,0,83
79,22,54,6,1,0,75,8,4,5,8,0,38,-7,1,1,77,-8,4,1,0,100
296,1,68,20,0,0,100,-7,7,8,22,5,27,0,7,7,64,-8,7,1,2,80
69,12,34,3,1,1,100,-7,6,8,3,0,100,0,4,4,-8,64,-8,2,-8,100
174,1,73,4,0,0,100,-7,7,8,5,2,40,0,1,1,9,-8,1,1,-8,67
145,2,54,29,6,1,76,16,6,2,38,6,73,-7,0,0,91,85,4,7,0,100
