MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
283,12,95,13,0,0,100,-7,7,8,15,0,43,1,3,3,8,53,1,2,0,43
192,7,111,22,0,0,100,-7,7,8,22,2,23,0,1,1,14,-8,3,1,0,67
148,4,58,42,0,0,100,-7,7,8,62,4,9,0,3,3,2,100,3,2,0,24
169,2,53,21,0,0,95,24,6,6,22,1,45,-7,0,0,0,78,2,1,0,43
189,15,81,19,0,0,95,-8,6,6,19,0,11,2,1,1,36,-8,3,1,1,40
142,17,65,12,0,0,100,-7,7,8,13,0,42,-7,0,0,17,-8,2,2,0,57
168,5,53,17,0,0,100,-7,7,8,6,5,41,4,1,1,17,-8,2,1,1,50
222,7,101,25,0,0,100,-7,7,8,39,1,24,0,1,1,9,-8,5,1,0,46
167,15,80,2,2,0,50,22,6,5,4,0,25,2,1,1,0,-8,0,1,0,50
42,10,27,8,0,0,100,-7,7,8,8,2,25,23,1,0,41,76,2,2,1,57
211,16,139,19,0,0,95,13,6,6,20,0,35,4,2,1,3,-8,2,1,0,33
