MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
209,7,92,7,1,1,88,2,0,2,8,2,25,-7,0,0,71,93,1,1,0,100
181,8,67,15,3,3,80,2,0,2,20,1,40,0,2,2,35,82,6,4,0,91
154,3,64,19,1,1,95,10,0,2,20,2,20,-7,1,1,60,33,8,2,2,73
202,2,70,15,0,0,94,-8,6,6,17,4,18,1,1,1,10,-8,4,1,0,38
117,4,52,15,0,0,93,-8,6,6,15,2,53,0,2,2,85,41,6,2,2,100
45,1,18,13,0,0,100,-7,7,8,15,4,40,1,1,1,71,65,5,2,1,88
255,6,57,24,0,0,100,-7,7,8,24,6,46,-7,0,0,69,40,3,2,1,75
252,7,50,13,1,1,86,3,0,2,14,3,50,0,4,4,67,68,3,3,2,60
197,4,81,26,0,0,100,-7,7,8,26,3,19,-7,3,3,4,6,2,2,0,29
236,2,92,52,5,3,83,3,3,2,64,4,25,3,4,4,16,94,4,6,0,56
438,7,145,12,1,1,92,61,6,4,13,1,8,0,3,3,18,-8,1,1,0,60
