MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
54,1,20,12,0,0,100,-7,7,8,13,4,38,0,1,1,53,98,5,2,1,70
316,13,143,9,6,4,50,2,1,3,15,0,21,0,1,1,36,-8,4,1,0,63
155,4,53,17,1,1,83,23,6,4,36,1,44,-7,3,3,43,78,4,4,1,80
80,7,33,6,1,1,71,30,6,4,7,1,43,6,0,0,92,-8,2,1,-8,100
160,23,80,16,0,0,83,6,4,6,18,0,44,0,0,0,112,91,6,2,6,89
139,22,109,3,2,1,80,7,3,5,5,0,60,0,2,2,-8,-8,-8,1,-8,100
231,13,73,20,2,2,90,4,4,6,23,0,24,0,2,2,54,39,2,4,1,60
20,1,9,8,0,0,100,-7,7,8,9,7,22,4,1,1,33,88,6,2,0,89
135,1,34,4,1,1,83,19,5,2,6,1,50,-7,0,0,24,-8,1,1,0,75
246,5,113,10,0,0,90,5,4,6,10,1,20,6,0,0,97,-8,5,1,4,86
336,15,91,41,1,1,84,13,5,2,44,0,36,0,0,0,64,87,13,6,4,100
