MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
190,1,64,7,1,1,78,-7,6,7,9,3,22,0,7,7,34,-8,5,1,0,100
191,34,93,5,5,2,46,6,3,2,40,0,46,0,4,4,30,-8,1,1,0,67
198,3,46,10,0,0,90,19,6,6,11,2,60,0,3,3,60,86,2,2,1,67
174,2,59,23,1,0,88,68,6,5,26,2,8,0,4,4,85,-8,17,-8,6,81
197,30,92,2,1,0,67,2,3,5,20,0,67,4,1,1,66,-8,1,-8,0,100
51,13,27,8,0,0,88,-7,5,7,8,0,50,-7,2,2,46,81,2,2,1,80
195,4,86,12,5,3,61,2,4,4,19,1,67,0,2,2,25,82,1,4,0,71
14,14,14,2,0,0,100,-7,7,8,2,0,0,3,1,1,82,-8,2,-8,1,100
244,1,69,15,1,1,94,-7,5,7,18,4,59,0,0,0,61,96,1,3,-8,80
164,4,67,18,2,0,67,1,4,5,24,2,58,0,5,5,0,53,0,4,0,63
172,9,59,22,1,1,96,0,2,4,23,1,30,0,0,0,54,84,7,4,2,92
