CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
2,12,2,0,2002,1,4,3,3,1,4,2,30,3,1,1,3,2,2,1
2,9,2,0,276,1,3,4,4,1,4,1,22,3,1,1,2,1,1,1
2,6,2,3,1068,1,5,4,3,1,4,3,28,3,2,1,3,2,1,1
1,27,4,9,2442,1,5,4,3,1,4,3,43,2,2,4,4,2,2,1
1,30,4,1,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,2,1
3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,1,2,1
2,36,2,3,2671,2,3,4,2,2,4,4,50,3,3,1,3,1,1,1
2,30,1,2,3496,4,3,4,3,1,2,3,34,2,2,1,3,2,2,1
2,45,4,1,4576,2,1,3,3,1,4,3,27,3,2,1,3,1,1,1
2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1
1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1
