CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1
2,9,2,3,790,3,3,4,2,1,3,1,66,3,2,1,2,1,1,1
2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1
4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1
1,36,2,1,8229,1,3,2,3,1,2,2,26,3,2,1,3,2,1,1
4,12,2,6,1393,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1
1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,1,1
2,15,3,5,1512,4,3,3,4,1,3,2,61,2,2,2,3,1,1,1
3,10,2,0,1240,2,5,1,2,1,4,4,48,3,3,1,2,2,1,1
4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,1
4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,1
