CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
4,12,4,2,1592,4,4,3,2,1,2,2,35,3,2,1,3,1,1,2
4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2
4,15,3,2,960,4,4,3,2,1,2,2,30,3,2,2,3,1,1,1
4,12,2,3,886,5,3,4,2,1,2,3,21,3,2,1,3,1,1,1
4,30,4,3,6742,5,4,2,3,1,3,2,36,3,2,2,3,1,1,1
4,15,4,6,1532,2,3,4,2,1,3,3,31,3,2,1,3,1,1,1
4,6,3,3,932,1,3,3,2,1,2,1,24,3,2,1,3,1,1,1
2,6,2,3,1068,1,5,4,3,1,4,3,28,3,2,1,3,2,1,1
4,24,2,3,999,5,5,4,3,1,2,3,25,3,2,2,3,1,1,1
4,36,4,0,7855,1,3,4,2,1,2,1,25,2,2,2,3,1,2,1
4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,1,1,1
