CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
2,36,2,3,2671,2,3,4,2,2,4,4,50,3,3,1,3,1,1,1
4,36,2,1,8133,1,3,1,2,1,2,2,30,1,2,1,3,1,1,1
1,24,2,3,1282,2,3,4,2,1,2,3,32,3,2,1,2,1,1,1
1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1
2,30,4,0,4249,1,1,4,4,1,2,3,28,3,2,2,4,1,1,1
2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,1,1,1
1,18,2,3,1345,1,3,4,4,1,3,1,26,1,2,1,3,1,1,1
1,12,1,3,626,1,3,4,2,1,4,1,24,1,2,1,2,1,1,1
1,30,4,1,10623,1,5,3,3,1,4,4,38,3,3,3,4,2,2,1
2,26,2,1,7966,1,2,2,3,1,3,3,30,3,2,2,3,1,1,1
1,18,2,2,2473,1,1,4,3,1,1,3,25,3,2,1,1,1,1,1
