CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,1,1,1
2,12,2,3,1155,1,5,3,4,3,3,1,40,1,2,2,2,1,1,1
2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,1
4,21,3,2,1591,2,4,4,3,1,3,1,34,3,2,2,4,1,1,1
2,26,2,1,7966,1,2,2,3,1,3,3,30,3,2,2,3,1,1,1
4,13,2,3,1409,2,1,2,2,1,4,1,64,3,2,1,3,1,1,1
1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,1
4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,1,1
1,15,2,0,2511,1,1,1,2,1,4,3,23,3,1,1,3,1,1,1
4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,1,2,1
2,24,2,3,3092,2,2,3,4,1,2,3,22,3,1,1,3,1,2,1
