CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
4,15,2,3,3568,1,5,4,2,1,2,3,54,1,1,1,4,1,2,1
4,60,3,3,15653,1,4,2,3,1,4,3,21,3,2,2,3,1,2,1
4,24,1,9,1559,1,4,4,3,1,4,3,50,1,2,1,3,1,2,1
4,12,4,2,1592,4,4,3,2,1,2,2,35,3,2,1,3,1,1,2
2,24,0,9,4241,1,3,1,3,1,4,1,36,3,2,3,2,1,2,1
2,48,3,6,6224,1,5,4,3,1,4,4,50,3,3,1,3,1,1,1
1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1
4,28,1,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,1
1,12,0,0,1082,1,3,4,3,1,4,3,48,1,2,2,3,1,1,1
2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1
4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1
