CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
2,48,4,2,5096,1,3,2,2,1,3,3,30,3,2,1,4,1,2,1
1,24,2,2,4020,1,3,2,3,1,2,3,27,2,2,1,3,1,1,1
2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,1
1,24,2,1,6579,1,1,4,3,1,2,4,29,3,3,1,4,1,2,1
1,48,2,0,7763,1,5,4,3,1,4,4,42,1,3,1,4,1,1,1
2,48,0,10,18424,1,3,1,2,1,2,2,32,1,2,1,4,1,2,2
1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,1
2,48,2,0,6560,2,4,3,3,1,2,2,24,3,2,1,3,1,1,1
1,36,4,2,6229,1,2,4,2,2,4,4,23,3,1,2,2,1,2,1
1,45,2,3,1845,1,3,4,3,1,4,4,23,3,3,1,3,1,2,1
2,39,3,6,11760,2,4,2,3,1,3,4,32,3,1,1,3,1,2,1
