CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
1,30,0,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,1
4,39,2,1,2569,3,3,4,3,1,4,3,24,3,2,1,3,1,1,1
1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,1
4,24,2,0,1249,1,2,4,4,1,2,1,28,3,2,1,3,1,1,1
4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1
4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,1,2,1
1,36,2,2,3446,1,5,4,3,1,2,3,42,3,2,1,3,2,1,1
1,12,2,3,674,2,4,4,4,1,1,2,20,3,2,1,3,1,1,1
4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,1
2,18,4,0,884,1,5,4,3,1,4,3,36,1,2,1,3,2,2,1
4,12,4,3,522,3,5,4,3,1,4,2,42,3,2,2,3,2,2,1
