CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
2,36,4,0,2820,1,2,4,1,1,4,3,27,3,2,2,3,1,1,1
2,45,4,1,4576,2,1,3,3,1,4,3,27,3,2,1,3,1,1,1
1,24,2,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,1,1,1
2,12,2,0,1223,1,5,1,1,1,1,1,46,3,1,2,3,1,1,1
2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,1
1,30,2,2,3108,1,2,2,1,1,4,2,31,3,2,1,2,1,1,1
1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1
4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,1
2,10,2,2,1521,1,3,4,1,1,2,3,31,3,2,1,2,1,1,1
2,30,3,3,1919,2,2,4,3,1,3,4,30,2,2,2,4,1,1,1
4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,1,1,1
