CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
1,24,2,0,1371,5,3,4,2,1,4,1,25,3,1,1,3,1,1,1
1,48,2,0,7763,1,5,4,3,1,4,4,42,1,3,1,4,1,1,1
2,48,2,2,9960,1,2,1,2,1,2,3,26,3,2,1,3,1,2,1
1,12,1,0,697,1,2,4,3,1,2,3,46,1,2,2,3,1,2,1
1,27,0,9,5293,1,1,2,3,1,4,2,50,2,2,2,3,1,2,1
2,39,3,6,11760,2,4,2,3,1,3,4,32,3,1,1,3,1,2,1
1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,1
4,48,4,1,11590,2,3,2,2,1,4,3,24,1,1,2,2,1,1,1
1,24,2,3,1938,1,2,4,1,1,3,2,32,3,2,1,3,1,1,1
1,24,0,2,4110,1,5,3,3,1,4,4,23,1,1,2,3,2,1,1
1,45,2,3,1845,1,3,4,3,1,4,4,23,3,3,1,3,1,2,1
