CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,1
4,39,2,1,2569,3,3,4,3,1,4,3,24,3,2,1,3,1,1,1
1,45,2,3,1845,1,3,4,3,1,4,4,23,3,3,1,3,1,2,1
4,12,2,2,1768,1,3,3,3,1,2,1,24,3,1,1,2,1,1,1
4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1
4,36,3,9,7980,5,2,4,3,1,4,3,27,3,1,2,3,1,2,1
2,9,2,3,790,3,3,4,2,1,3,1,66,3,2,1,2,1,1,1
4,15,3,1,3594,1,2,1,2,1,2,2,46,3,2,2,2,1,1,1
4,30,1,1,7485,5,1,4,2,1,1,1,53,1,2,1,4,1,2,1
1,30,2,3,2522,1,5,1,3,3,3,2,39,3,2,1,3,2,1,1
4,36,2,6,1819,1,3,4,3,1,4,4,37,2,3,1,3,1,2,1
