CheckAccountStatus,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentSince,InstallmentRate,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallmentPlan,Housing,NumberOfCredit,Job,LiablePersonNumber,Telephone,ForeignWorker
4,9,2,3,1478,1,4,4,3,1,2,3,22,3,2,1,3,1,1,1
4,15,2,1,3029,1,4,2,3,1,2,3,33,3,2,1,3,1,1,1
4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,1,1,1
4,10,2,3,1924,1,3,1,3,1,4,2,38,3,2,1,3,1,2,2
1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,1
4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,1,1,1
2,24,2,1,11560,1,3,1,2,1,4,3,23,3,1,2,4,1,1,1
3,15,4,3,1271,5,3,3,3,1,4,4,39,3,3,2,3,1,2,1
1,12,2,8,902,1,4,4,4,1,4,2,21,3,1,1,3,1,1,1
1,24,2,3,1823,1,1,4,3,1,2,3,30,2,2,1,4,2,1,1
2,7,2,3,2329,1,2,1,2,3,1,1,45,3,2,1,3,1,1,1
