MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
135,3,93,6,3,1,75,79,6,4,12,1,67,1,3,3,0,118,0,2,-8,67
128,7,63,48,1,0,93,23,6,5,55,6,40,1,2,1,39,77,7,2,1,77
426,9,124,19,0,0,95,18,6,6,14,1,50,-7,0,0,46,-8,3,1,1,57
308,12,95,30,0,0,91,2,4,6,32,0,13,0,4,3,81,-8,7,2,2,82
335,15,146,28,0,0,100,-7,7,8,28,0,18,14,0,0,34,75,9,2,1,65
-8,2,57,15,0,0,94,4,4,6,0,3,50,-7,1,1,5,75,3,5,0,73
183,11,36,30,0,0,100,-7,7,8,32,3,17,-7,8,7,87,-8,15,2,10,81
148,0,47,24,0,0,93,6,4,6,34,9,43,-7,9,9,14,67,2,4,0,67
142,3,66,37,2,2,90,19,6,3,40,3,23,-7,2,2,24,37,4,4,0,53
198,10,112,10,0,0,60,12,6,6,11,1,20,-8,1,0,63,-8,3,-8,0,80
109,7,61,12,0,0,100,-7,7,8,12,2,67,0,1,1,8,82,1,8,0,82
